Section,Standard Designation,"Grade, Class, Type, Symbol or Name",Steel Number,UNS Number,"Section Thickness t, mm","t, in.",C,Mn,Si,P,S,Cr,Ni,Mo,Others
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,ASTM A 283/A 283M-03,,,,> 40,> 1.5,0.24,0.90,0.15-0.40,0.035,0.04,---,---,---,---
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,ASTM A 1011/A 1011M-03,40 [275],---,K02502,≤ 6.0,≤ 0.229,0.25,0.90,report value,0.035,0.04,0.15,0.20,0.06,Cb 0.008; V 0.008; Al report value; Cu see standard; Cu + Ni + Cr + Mo 0.50; Cr + Mo see standard
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,ASTM A 36/A 36M-03a,---,---,K02595,≤ 20,≤ ¾,0.25,---,0.40,0.04,0.05,---,---,---,---
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,ASTM A 36/A 36M-03a,,,K02596,20 < t ≤ 40,¾ < t ≤ 1½,0.25,0.80-1.20,0.40,0.04,0.05,---,---,---,---
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,ASTM A 36/A 36M-03a,,,K02597,40 < t ≤ 65,1½ < t ≤ 2½,0.26,0.80-1.20,0.15-0.40,0.04,0.05,---,---,---,---
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,ASTM A 36/A 36M-03a,,,K02598,65 < t ≤ 100,2½ < t ≤ 4,0.27,0.85-1.20,0.15-0.40,0.04,0.05,---,---,---,---
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,ASTM A 36/A 36M-03a,,,K02599-,> 100,> 4,0.29,0.85-1.20,0.15-0.40,0.04,0.05,---,---,---,---
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,ASTM A 1011/A 1011M-03,36 [250] Type 2,---,K02502,≤ 6.0,≤ 0.229,0.25,1.35,report value,0.035,0.04,0.15,0.20,0.06,"Cb 0.008; V 0.008; Si, Al report value; Cu see standard; Cu + Ni + Cr + Mo 0.50; Cr + Mo see standard"
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,ASTM A 573/A 573M-00a,58 [400],---,K02301,≤ 13,≤ ½,0.23,0.60-0.90,0.10-0.35,0.035,0.04,---,---,---,---
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,ASTM A 573/A 573M-00a,,,,13 < t ≤ 40,½ < t ≤ 1½,0.23,0.60-0.90,0.10-0.35,0.035,0.04,---,---,---,---
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,ASTM A 709/A 709M-03a,36 [250],---,---,≤ 20,≤ ¾,0.25,---,0.40,0.04,0.05,---,---,---,---
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,ASTM A 709/A 709M-03a,,,,20 < t ≤ 40,¾ < t ≤ 1½,0.25,0.80-1.20,0.40,0.04,0.05,---,---,---,---
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,ASTM A 709/A 709M-03a,,,,40 < t ≤ 65,1½< t ≤2½,0.26,0.80-1.20,0.15-0.40,0.04,0.05,---,---,---,---
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,ASTM A 709/A 709M-03a,,,,65 < t ≤ 100,2½ < t ≤ 4,0.27,0.85-1.20,0.15-0.40,0.04,0.05,---,---,---,---
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,JIS G 3101:1995,SS400,---,---,---,---,---,---,---,0.050,0.050,---,---,---,---
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,JIS G 3106:1999,SM400A,---,---,≤ 50,---,0.23,2.5xC min,---,0.035,0.035,---,---,---,---
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,JIS G 3106:1999,,,,50 < t ≤ 200,---,0.25,2.5xC min,---,0.035,0.035,---,---,---,---
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,JIS G 3106:1999,SM400B,---,---,≤ 50,---,0.20,0.60-1.40,0.35,0.035,0.035,---,---,---,---
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,JIS G 3106:1999,,,,50 < t ≤ 200,---,0.22,0.60-1.40,0.35,0.035,0.035,---,---,---,---
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,JIS G 3106:1999,SM400C,---,---,≤ 100,---,0.18,1.40,0.35,0.035,0.035,---,---,---,---
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,JIS G 3136:1994,SN400A,---,---,6 ≤ t ≤ 100,---,0.24,---,---,0.050,0.050,---,---,---,---
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,JIS G 3136:1994,SN400B,---,---,6 ≤ t ≤ 50,---,0.20,0.60-1.40,0.35,0.030,0.015,---,---,---,---
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,JIS G 3136:1994,,,,50 < t ≤ 100,---,0.22,0.60-1.40,0.35,0.030,0.015,---,---,---,---
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,JIS G 3136:1994,SN400C,---,---,16 ≤ t ≤ 50,---,0.20,0.60-1.40,0.35,0.020,0.008,---,---,---,---
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,JIS G 3136:1994,,,,50 < t ≤ 100,---,0.22,0.60-1.40,0.35,0.020,0.008,---,---,---,---
