Section,Standard Designation,"Grade, Class, Type, Symbol or Name",Steel Number,UNS Number,C,Mn,Si,P,S,Cr,Ni,Mo,Others
"6.2.2.1A Chemical Composition of Mo Alloy Steel Forgings for Piping, Pressure Vessel and Components",EN 10222-2:1999,16Mo3,1.5415,---,0.12-0.20,0.40-0.90,0.35,0.025,0.015,---,---,0.25-0.35,---
"6.2.2.1A Chemical Composition of Mo Alloy Steel Forgings for Piping, Pressure Vessel and Components",ISO 9327-2:1999,16Mo3,---,---,0.12-0.20,0.40-0.90,0.35,0.035,0.030,0.30,---,0.25-0.35,Cu 0.30
"6.2.2.1A Chemical Composition of Mo Alloy Steel Forgings for Piping, Pressure Vessel and Components",JIS G 3203:1988,SFVA F 1,---,---,0.30,0.60-0.90,0.35,0.030,0.030,---,---,0.45-0.65,---
"6.2.2.1A Chemical Composition of Mo Alloy Steel Forgings for Piping, Pressure Vessel and Components",ASTM A 182/A 182M-02,F 1,---,K12822,0.28,0.60-0.90,0.15-0.35,0.045,0.045,---,---,0.44-0.65,---
"6.2.2.1A Chemical Composition of Mo Alloy Steel Forgings for Piping, Pressure Vessel and Components",ASTM A 336/A 336M-03a,F1,---,K12520,0.20-0.30,0.60-0.80,0.20-0.35,0.025,0.025,---,---,0.40-0.60,---
