Section,Standard Designation,"Grade, Class, Type, Symbol, or Name",Steel Number,UNS Number,"Section Thickness t, mm","t, in.",C,Mn,Si,P,S,Cr,Ni,Mo,Others
4.4.7A Chemical Composition of 9Cr-1Mo Alloy Steels for Pressure Vessel Plates,ASTM A 387/A 387M-03,Grade 91 Class 2,---,K90901,---,---,0.08-0.12,0.30-0.60,0.20-0.50,0.020,0.010,8.00-9.50,0.40,0.85-1.05,N 0.030-0.070; Cb 0.06-0.10; V 0.18-0.25; B 0.0003-0.006; Al 0.04
4.4.7A Chemical Composition of 9Cr-1Mo Alloy Steels for Pressure Vessel Plates,EN 10028-2:2003,X10CrMoVNb9-1,1.4903,---,---,---,0.08-0.12,0.30-0.60,0.50,0.020,0.005,8.00-9.50,0.30,0.85-1.05,N 0.030-0.070; Cu 0.30; Nb 0.6-0.10; V 0.18-0.25
4.4.7A Chemical Composition of 9Cr-1Mo Alloy Steels for Pressure Vessel Plates,ASTM A 387/A 387M-03,Grade 911 Class 2,---,---,---,---,0.09-0.13,0.30-0.60,0.10-0.50,0.020,0.010,8.50-10.50,0.40,0.90-1.10,Cb 0.06-0.10; V 0.18-0.25; Al 0.04; N 0.04-0.09; W 0.90-1.10
