Section,Standard Designation,"Grade, Class, Type, Symbol, or Name",Steel Number,UNS Number,"Section Thickness t, mm","t, in.",C,Mn,Si,P,S,Cr,Ni,Mo,Others
4.1B Chemical Composition of Carbon Steel Pressure Vessel Plates,ASTM A 515/A 515M-03,,,,50 < t ≤ 100,2 < t ≤ 4,0.33,0.90,0.15-0.40,0.035,0.035,---,---,---,---
4.1B Chemical Composition of Carbon Steel Pressure Vessel Plates,ASTM A 515/A 515M-03,,,,100 < t ≤ 200,4 < t ≤ 8,0.33,0.90,0.15-0.40,0.035,0.035,---,---,---,---
4.1B Chemical Composition of Carbon Steel Pressure Vessel Plates,ASTM A 515/A 515M-03,,,,> 200,> 8,0.33,0.90,0.15-0.40,0.035,0.035,---,---,---,---
4.1B Chemical Composition of Carbon Steel Pressure Vessel Plates,ASTM A 516/A 516M-03,65 [450],---,K02403,≤ 12.5,≤ ½,0.24,0.85-1.20,0.15-0.40,0.035,0.035,---,---,---,---
4.1B Chemical Composition of Carbon Steel Pressure Vessel Plates,ASTM A 516/A 516M-03,,,,12.5 < t ≤ 50,½ < t ≤ 2,0.26,0.85-1.20,0.15-0.40,0.035,0.035,---,---,---,---
4.1B Chemical Composition of Carbon Steel Pressure Vessel Plates,ASTM A 516/A 516M-03,,,,50 < t ≤ 100,2 < t ≤ 4,0.28,0.85-1.20,0.15-0.40,0.035,0.035,---,---,---,---
4.1B Chemical Composition of Carbon Steel Pressure Vessel Plates,ASTM A 516/A 516M-03,,,,100 < t ≤ 200,4 < t ≤ 8,0.29,0.85-1.20,0.15-0.40,0.035,0.035,---,---,---,---
4.1B Chemical Composition of Carbon Steel Pressure Vessel Plates,ASTM A 516/A 516M-03,,,,> 200,> 8,0.29,0.85-1.20,0.15-0.40,0.035,0.035,---,---,---,---
4.1B Chemical Composition of Carbon Steel Pressure Vessel Plates,JIS G 3103:1987,SB 450,---,---,≤ 25,---,0.28,0.90,0.15-0.30,0.035,0.040,---,---,---,---
4.1B Chemical Composition of Carbon Steel Pressure Vessel Plates,JIS G 3103:1987,,,,25 < t ≤ 50,---,0.31,0.90,0.15-0.30,0.035,0.040,---,---,---,---
4.1B Chemical Composition of Carbon Steel Pressure Vessel Plates,JIS G 3103:1987,,,,50 < t ≤ 100,---,0.33,0.90,0.15-0.40,0.035,0.040,---,---,---,---
4.1B Chemical Composition of Carbon Steel Pressure Vessel Plates,JIS G 3118:2000,SGV450,---,---,≤ 12.5,---,0.24,0.85-1.20,0.15-0.40,0.030,0.030,---,---,---,---
4.1B Chemical Composition of Carbon Steel Pressure Vessel Plates,JIS G 3118:2000,,,,12.5 < t ≤ 50,---,0.26,0.85-1.20,0.15-0.40,0.030,0.030,---,---,---,---
4.1B Chemical Composition of Carbon Steel Pressure Vessel Plates,JIS G 3118:2000,,,,50 < t ≤ 100,---,0.28,0.85-1.20,0.15-0.40,0.030,0.030,---,---,---,---
4.1B Chemical Composition of Carbon Steel Pressure Vessel Plates,JIS G 3118:2000,,,,100 < t ≤ 200,---,0.29,0.85-1.20,0.15-0.40,0.030,0.030,---,---,---,---
4.1B Chemical Composition of Carbon Steel Pressure Vessel Plates,EN 10028-2:2003,P295GH,1.0481,---,---,---,0.08-0.20,0.90-1.50,0.40,0.025,0.015,0.30,0.30,0.08,Cu 0.30; Nb 0.020; Ti 0.03; V 0.02; Al ≥ 0.020; N 0.012; Cr+Cu+Mo+Ni 0.70
4.1B Chemical Composition of Carbon Steel Pressure Vessel Plates,ISO 9328-2:1991,P 290,---,---,---,---,0.20,0.90-1.50,0.40,0.035,0.030,0.30,0.30,0.08,Cu 0.30; Al ≥ 0.020; Cr+Cu+Mo+Ni 0.70
4.1B Chemical Composition of Carbon Steel Pressure Vessel Plates,ISO 9328-2:1991,PH 290,---,---,---,---,0.14-0.20,,,,,,,,
4.1B Chemical Composition of Carbon Steel Pressure Vessel Plates,JIS G 3103:1987,SB 480,---,---,≤ 25,---,0.31,0.90,0.15-0.30,0.035,0.040,---,---,---,---
4.1B Chemical Composition of Carbon Steel Pressure Vessel Plates,JIS G 3103:1987,,,,25 < t ≤ 50,---,0.33,0.90,0.15-0.30,0.035,0.040,---,---,---,---
4.1B Chemical Composition of Carbon Steel Pressure Vessel Plates,JIS G 3103:1987,,,,50 < t ≤ 200,---,0.35,0.90,0.15-0.30,0.035,0.040,---,---,---,---
4.1B Chemical Composition of Carbon Steel Pressure Vessel Plates,JIS G 3118:2000,SGV480,---,---,≤ 12.5,---,0.27,0.85-1.20,0.15-0.40,0.030,0.030,---,---,---,---
4.1B Chemical Composition of Carbon Steel Pressure Vessel Plates,JIS G 3118:2000,,,,12.5 < t ≤ 50,---,0.28,0.85-1.20,0.15-0.40,0.030,0.030,---,---,---,---
4.1B Chemical Composition of Carbon Steel Pressure Vessel Plates,JIS G 3118:2000,,,,50 < t ≤ 100,---,0.30,0.85-1.20,0.15-0.40,0.030,0.030,---,---,---,---
4.1B Chemical Composition of Carbon Steel Pressure Vessel Plates,JIS G 3118:2000,,,,100 < t ≤ 200,---,0.31,0.85-1.20,0.15-0.40,0.030,0.030,---,---,---,---
4.1B Chemical Composition of Carbon Steel Pressure Vessel Plates,ASTM A 515/A 515M-03,70 [485],---,K03101,≤ 25,≤ 1,0.31,1.20,0.15-0.40,0.035,0.035,---,---,---,---
4.1B Chemical Composition of Carbon Steel Pressure Vessel Plates,ASTM A 515/A 515M-03,,,,25 < t ≤ 50,1 < t ≤ 2,0.33,1.20,0.15-0.40,0.035,0.035,---,---,---,---
4.1B Chemical Composition of Carbon Steel Pressure Vessel Plates,ASTM A 515/A 515M-03,,,,50 < t ≤ 100,2 < t ≤ 4,0.35,1.20,0.15-0.40,0.035,0.035,---,---,---,---
4.1B Chemical Composition of Carbon Steel Pressure Vessel Plates,ASTM A 515/A 515M-03,,,,100 < t ≤ 200,4 < t ≤ 8,0.35,1.20,0.15-0.40,0.035,0.035,---,---,---,---
4.1B Chemical Composition of Carbon Steel Pressure Vessel Plates,ASTM A 515/A 515M-03,,,,> 200,> 8,0.35,1.20,0.15-0.40,0.035,0.035,---,---,---,---
4.1B Chemical Composition of Carbon Steel Pressure Vessel Plates,ASTM A 516/A 516M-03,70 [485],---,K02700,≤ 12.5,≤ ½,0.27,0.85-1.20,0.15-0.40,0.035,0.035,---,---,---,---
