Section,Standard Designation,"Grade, Class, Type, Symbol or Name",Steel Number,UNS Number,C,Mn,Si,P,S,Cr,Ni,Mo,Others
7.4.1.2A Chemical Composition of Austenitic Stainless Steels for General and Corrosion Resistant Applications,ASTM A 744/A 744M-00,CF3M,---,J92800,0.03,1.50,1.50,0.04,0.04,17.0-21.0,9.0-13.0,2.0-3.0,---
7.4.1.2A Chemical Composition of Austenitic Stainless Steels for General and Corrosion Resistant Applications,EN 10283:1998,GX2CrNiMoN17-13-4,1.4446,---,0.030,1.50,1.00,0.040,0.030,16.50-18.50,12.50-14.50,4.00-4.50,N 0.12-0.22
7.4.1.2A Chemical Composition of Austenitic Stainless Steels for General and Corrosion Resistant Applications,ISO 11972:1998,GX 2 CrNiMoN 19 11 2,---,---,0.03,1.5,1.5,0.040,0.030,17.0-20.0,9.0-12.0,2.0-2.5,N 0.10-0.20
7.4.1.2A Chemical Composition of Austenitic Stainless Steels for General and Corrosion Resistant Applications,ISO 11972:1998,GX 2 CrNiMoN 19 11 3,---,---,0.03,1.5,1.5,0.040,0.030,17.0-20.0,9.0-12.0,3.0-3.5,N 0.10-0.20
7.4.1.2A Chemical Composition of Austenitic Stainless Steels for General and Corrosion Resistant Applications,ASTM A 743/A 743M-03,CF3MN,---,---,0.03,1.50,1.50,0.040,0.040,17.0-22.0,9.0-13.0,2.0-3.0,N 0.10-0.20
7.4.1.2A Chemical Composition of Austenitic Stainless Steels for General and Corrosion Resistant Applications,EN 10283:1998,GX5CrNiMo19-11-3,1.4412,---,0.07,1.50,1.50,0.040,0.030,18.00-20.00,10.00-13.00,3.00-3.50,---
7.4.1.2A Chemical Composition of Austenitic Stainless Steels for General and Corrosion Resistant Applications,BS 3100:1991 AMD.1:1992,317C16,---,---,0.08,2.0,1.5,0.040,0.040,17.0-21.0,9.0 min,3.0-4.0,---
7.4.1.2A Chemical Composition of Austenitic Stainless Steels for General and Corrosion Resistant Applications,ASTM A 743/A 743M-03,CG8M,---,J93000,0.08,1.50,1.50,0.04,0.04,18.0-21.0,9.0-13.0,3.0-4.0,---
7.4.1.2A Chemical Composition of Austenitic Stainless Steels for General and Corrosion Resistant Applications,ASTM A 744/A 744M-00,CG8M,---,J93000,0.08,1.50,1.50,0.04,0.04,18.0-21.0,9.0-13.0,3.0-4.0,---
7.4.1.2A Chemical Composition of Austenitic Stainless Steels for General and Corrosion Resistant Applications,ISO 11972:1998,GX 2 CrNiMo 19 11 3,---,---,0.03,1.5,1.5,0.040,0.030,17.0-20.0,9.0-12.0,3.0-3.5,---
