Section,Standard Designation,"Grade, Class, Type, Symbol, or Name",Steel Number,UNS Number,"Section Thickness t, mm","t, in.",C,Mn,Si,P,S,Cr,Ni,Mo,Others
4.5.5A Chemical Composition of 5Ni Alloy Steels for Pressure Vessel Plates,EN 10028-4:2003,X12Ni5,1.5680,---,---,---,0.15,0.30-0.80,0.35,0.020,0.010,---,4.75-5.25,---,V 0.05
4.5.5A Chemical Composition of 5Ni Alloy Steels for Pressure Vessel Plates,JIS G 3127:2000,SL5N590,---,---,6 ≤ t ≤ 50,---,0.13,1.50,0.30,0.025,0.025,---,4.75-6.00,---,---
