Section,Standard Designation,"Grade, Class, Type, Symbol or Name",Steel Number,UNS Number,C,Mn,Si,P,S,Cr,Ni,Mo,Others
5.9.2A Chemical Composition of Austenitic Stainless Steel Tubes and Pipes for Pressure Purposes and High Temperatures,ASTM A 213/A 213M-03a,TP347H,---,S34709,0.04-0.10,2.00,0.75,0.040,0.030,17.0-20.0,9.00-13.0,---,Cb+Ta 8 X C -1.0
5.9.2A Chemical Composition of Austenitic Stainless Steel Tubes and Pipes for Pressure Purposes and High Temperatures,ASTM A 249/A 249M-03,TP347H,---,S34709,0.04-0.10,2.00,1.00,0.045,0.030,17.0-19.0,9.00-12.0,---,Cb 8 x C to 1.0
5.9.2A Chemical Composition of Austenitic Stainless Steel Tubes and Pipes for Pressure Purposes and High Temperatures,ASTM A 312/A 312M-03,TP347H,---,S34709,0.04-0.10,2.00,1.00,0.045,0.030,17.0-19.0,9.0-13.0,---,Cb 8 x C to 1.00
5.9.2A Chemical Composition of Austenitic Stainless Steel Tubes and Pipes for Pressure Purposes and High Temperatures,ASTM A 376/A 376M-02a,TP347H,---,S34709,0.04-0.10,2.00,0.75,0.045,0.030,17.0-19.0,9.00-13.0,---,Cb 8 x C to 1.10
5.9.2A Chemical Composition of Austenitic Stainless Steel Tubes and Pipes for Pressure Purposes and High Temperatures,JIS G 3459:1997,SUS347HTP,---,---,0.04-0.10,2.00,1.00,0.030,0.030,17.00-20.00,9.00-13.00,---,Nb 8 x C to 1.00
5.9.2A Chemical Composition of Austenitic Stainless Steel Tubes and Pipes for Pressure Purposes and High Temperatures,JIS G 3463:1994,SUS347HTB,---,---,0.04-0.10,2.00,1.00,0.030,0.030,17.00-20.00,9.00-13.00,---,Nb 8 x C to 1.00
5.9.2A Chemical Composition of Austenitic Stainless Steel Tubes and Pipes for Pressure Purposes and High Temperatures,JIS G 3467:1988,SUS 347H TF,---,---,0.04-0.10,2.00,0.75,0.030,0.030,17.00-20.00,9.00-13.00,---,Nb 8 x C to 1.00
5.9.2A Chemical Composition of Austenitic Stainless Steel Tubes and Pipes for Pressure Purposes and High Temperatures,BS 3605-1:1991 AMD 2:1997,347S51,---,---,0.04-0.10,2.00,1.00,0.040,0.030,17.00-19.00,9.00-13.00,---,Nb 10 x C to 1.20
5.9.2A Chemical Composition of Austenitic Stainless Steel Tubes and Pipes for Pressure Purposes and High Temperatures,DIN 17459:1992,X 8 CrNiNb 16 13,1.4961,---,0.04-0.10,1.5,0.30-0.60,0.035,0.015,15.0-17.0,12.0-14.0,,Nb 10 x C to 1.2
5.9.2A Chemical Composition of Austenitic Stainless Steel Tubes and Pipes for Pressure Purposes and High Temperatures,AFNOR NF A 49-214:1978,Z 6 CN Nb 18-12 B,---,---,0.04-0.08,2.0,1.0,0.035,0.030,17-19,10-13,---,(Nb+Ta) 8 x C to 1.00
