Section,Standard Designation,"Grade, Class, Type, Symbol or Name",Steel Number,UNS Number,C,Mn,Si,P,S,Cr,Ni,Mo,Others
"6.2.2.3A Chemical Composition of 1Cr-1/2Mo Alloy Steel Forgings for Piping, Pressure Vessel and Components",EN 10222-2:1999,13CrMo4-5,1.7335,---,0.08-0.18,0.40-1.00,0.35,0.025,0.015,0.70-1.15,---,0.40-0.60,---
"6.2.2.3A Chemical Composition of 1Cr-1/2Mo Alloy Steel Forgings for Piping, Pressure Vessel and Components",ISO 9327-2:1999,14CrMo4-5,---,---,0.08-0.18,0.40-1.00,0.35,0.035,0.030,0.70-1.15,---,0.40-0.60,Cu 0.30
"6.2.2.3A Chemical Composition of 1Cr-1/2Mo Alloy Steel Forgings for Piping, Pressure Vessel and Components",JIS G 3203:1988,SFVA F 12,---,---,0.20,0.30-0.80,0.60,0.030,0.030,0.80-1.25,---,0.45-0.65,---
"6.2.2.3A Chemical Composition of 1Cr-1/2Mo Alloy Steel Forgings for Piping, Pressure Vessel and Components",ASTM A 182/A 182M-02,"F 12, Class 2",---,K11564,0.10-0.20,0.30-0.80,0.10-0.60,0.040,0.040,0.80-1.25,---,0.44-0.65,---
"6.2.2.3A Chemical Composition of 1Cr-1/2Mo Alloy Steel Forgings for Piping, Pressure Vessel and Components",ASTM A 336/A 336M-03a,F12,---,K11564,0.10-0.20,0.30-0.80,0.10-0.60,0.025,0.025,0.80-1.10,---,0.45-0.65,---
