Section,Standard Designation,"Grade, Class, Type, Symbol, or Name",Steel Number,UNS Number,"Section Thickness t, mm","t, in.",C,Mn,Si,P,S,Cr,Ni,Mo,Others
4.4.6A Chemical Composition of 5Cr-1/2Mo Alloy Steels for Pressure Vessel Plates,JIS G 4109:1987,SCMV 6 Div 1,---,---,---,---,0.15,0.30-0.60,0.50,0.030,0.030,4.00-6.00,---,0.45-0.65,---
4.4.6A Chemical Composition of 5Cr-1/2Mo Alloy Steels for Pressure Vessel Plates,ASTM A 387/A 387M-03,"Grade 5, Class 1",---,K41545,---,---,0.15,0.30-0.60,0.50,0.035,0.030,4.00-6.00,---,0.45-0.65,---
4.4.6A Chemical Composition of 5Cr-1/2Mo Alloy Steels for Pressure Vessel Plates,ASTM A 387/A 387M-03,,,S50100,,,,,,,,,,,
4.4.6A Chemical Composition of 5Cr-1/2Mo Alloy Steels for Pressure Vessel Plates,ASTM A 387/A 387M-03,,,S50200,,,,,,,,,,,
4.4.6A Chemical Composition of 5Cr-1/2Mo Alloy Steels for Pressure Vessel Plates,EN 10028-2:2003,X12CrMo5,1.7362,---,---,---,0.10-0.15,0.30-0.60,0.50,0.020,0.005,4.00-6.00,0.30,0.45-0.65,Cu 0.30; N 0.012;
4.4.6A Chemical Composition of 5Cr-1/2Mo Alloy Steels for Pressure Vessel Plates,ASTM A 387/A 387M-03,"Grade 5, Class 2",---,K41545,---,---,0.15,0.30-0.60,0.50,0.035,0.030,4.00-6.00,---,0.45-0.65,---
4.4.6A Chemical Composition of 5Cr-1/2Mo Alloy Steels for Pressure Vessel Plates,ASTM A 387/A 387M-03,,,S50100,,,,,,,,,,,
4.4.6A Chemical Composition of 5Cr-1/2Mo Alloy Steels for Pressure Vessel Plates,ASTM A 387/A 387M-03,,,S50200,,,,,,,,,,,
4.4.6A Chemical Composition of 5Cr-1/2Mo Alloy Steels for Pressure Vessel Plates,JIS G 4109:1987,SCMV 6 Div 2,---,---,---,---,0.15,0.30-0.60,0.50,0.030,0.030,4.00-6.00,---,0.45-0.65,---
