Section,Standard Designation,"Grade, Class, Type, Symbol or Name",Steel Number,UNS Number,C,Mn,Si,P,S,Cr,Ni,Mo,Others
2.1 Chemical Composition of Carbon Steels for General Use,EN 10083-2:1991,C55,1.0835,---,0.52-0.60,0.60-0.90,0.40,0.045,0.045,0.40,0.40,0.10,Cr+Mo+Ni 0.63
2.1 Chemical Composition of Carbon Steels for General Use,ISO 683-1:1987,C 55,---,---,0.52-0.60,0.60-0.90,0.10-0.40,0.045,0.045,---,---,---,---
2.1 Chemical Composition of Carbon Steels for General Use,ISO 683-1:1987,C 55 E4,---,---,0.52-0.60,0.60-0.90,0.10-0.40,0.035,0.035,---,---,---,---
2.1 Chemical Composition of Carbon Steels for General Use,ISO 683-1:1987,C 55 M2,---,---,0.52-0.60,0.60-0.90,0.10-0.40,0.035,0.020-0.040,---,---,---,---
2.1 Chemical Composition of Carbon Steels for General Use,ASTM A 29/A 29M-03,1059,---,G10590,0.55-0.65,0.50-0.80,---,0.040,0.050,---,---,---,---
2.1 Chemical Composition of Carbon Steels for General Use,ASTM A 29/A 29M-03,1060,---,G10600,0.55-0.65,0.60-0.90,---,0.040,0.050,---,---,---,---
2.1 Chemical Composition of Carbon Steels for General Use,ASTM A 576-90b (2000),1060,---,G10600,0.55-0.65,0.60-0.90,---,0.040,0.050,---,---,---,---
2.1 Chemical Composition of Carbon Steels for General Use,SAE J403 NOV01,1060,---,G10600,0.55-0.65,0.60-0.90,---,0.030,0.050,---,---,---,---
2.1 Chemical Composition of Carbon Steels for General Use,JIS G 4051:1979,S 58 C,---,---,0.55-0.61,0.60-0.90,0.15-0.35,0.030,0.035,0.20,0.20,---,Cu 0.30; Ni+Cr 0.35
2.1 Chemical Composition of Carbon Steels for General Use,EN 10016-2:1995,C58D,1.0609,---,0.55-0.60,0.50-0.80,0.10-0.30,0.035,0.035,0.15,0.20,0.05,Cu 0.25; Al 0.01
2.1 Chemical Composition of Carbon Steels for General Use,EN 10016-2:1995,C60D,1.0610,---,0.58-0.63,0.50-0.80,0.10-0.30,0.035,0.035,0.15,0.20,0.05,Cu 0.25; Al 0.01
2.1 Chemical Composition of Carbon Steels for General Use,EN 10016-4:1995,C58D2,1.1212,---,0.56-0.60,0.50-0.70,0.10-0.30,0.020,0.025,0.10,0.10,0.03,Cu 0.15; Al 0.01; N 0.007
2.1 Chemical Composition of Carbon Steels for General Use,EN 10016-4:1995,C60D2,1.1228,---,0.58-0.62,0.50-0.70,0.10-0.30,0.020,0.025,0.10,0.10,0.03,Cu 0.15; Al 0.01; N 0.007
2.1 Chemical Composition of Carbon Steels for General Use,EN 10083-1:1991,C60E,1.1221,---,0.57-0.65,0.60-0.90,0.40,0.035,0.035,0.40,0.40,0.10,Cr+Mo+Ni 0.63
2.1 Chemical Composition of Carbon Steels for General Use,EN 10083-1:1991,C60R,1.1223,---,0.57-0.65,0.60-0.90,0.40,0.035,0.020-0.040,0.40,0.40,0.10,Cr+Mo+Ni 0.63
