Section,Standard Designation,"Grade, Class, Type, Symbol or Name",Steel Number,UNS Number,C,Mn,Si,P,S,Cr,Ni,Mo,Others
5.3.2A Chemical Composition of Austenitic Stainless Steel Tubes for General and Structural Applications,JIS G 3446:1994,SUS316TKA,---,---,0.08,2.00,1.00,0.040,0.030,16.00-18.00,10.00-14.00,2.00-3.00,---
5.3.2A Chemical Composition of Austenitic Stainless Steel Tubes for General and Structural Applications,JIS G 3446:1994,SUS316TKC,---,---,0.08,2.00,1.00,0.040,0.030,16.00-18.00,10.00-14.00,2.00-3.00,---
5.3.2A Chemical Composition of Austenitic Stainless Steel Tubes for General and Structural Applications,BS 6323-8:1982 AMD 2:1989,LW 23,---,---,0.07,2.00,1.00,0.045,0.030,16.5-18.5,11.0-14.0,2.5-3.0,---
5.3.2A Chemical Composition of Austenitic Stainless Steel Tubes for General and Structural Applications,BS 6323-8:1982 AMD 2:1989,LWCF 23,---,---,0.07,2.00,1.00,0.045,0.030,16.5-18.5,11.0-14.0,2.5-3.0,---
5.3.2A Chemical Composition of Austenitic Stainless Steel Tubes for General and Structural Applications,DIN 17455:1999,X5CrNiMo17-12-2,1.4401,---,0.07,2.00,1.00,0.045,0.015,16.50-18.50,10.00-13.00,2.00-2.50,N 0.11
5.3.2A Chemical Composition of Austenitic Stainless Steel Tubes for General and Structural Applications,DIN 17455:1999,X3CrNiMo17-13-3,1.4436,---,0.05,2.00,1.00,0.045,0.015,16.50-18.50,10.50-13.00,2.50-3.00,N 0.11
5.3.2A Chemical Composition of Austenitic Stainless Steel Tubes for General and Structural Applications,DIN 17456:1999,X5CrNiMo17-12-2,1.4401,---,0.07,2.0,1.00,0.045,0.015,16.50-18.50,10.00-13.00,2.00-2.50,N 0.11
5.3.2A Chemical Composition of Austenitic Stainless Steel Tubes for General and Structural Applications,DIN 17456:1999,X3CrNiMo17-13-3,1.4436,---,0.05,2.0,1.00,0.045,0.015,16.50-18.50,10.50-13.00,2.50-3.00,N 0.11
5.3.2A Chemical Composition of Austenitic Stainless Steel Tubes for General and Structural Applications,AFNOR NF A 49-647:1979,TS Z 6 CND 17-11,---,---,0.08,2.0,1.0,0.040,0.030,16-18,10-12.5,2-2.5,---
5.3.2A Chemical Composition of Austenitic Stainless Steel Tubes for General and Structural Applications,ASTM A 269-02a,TP316L,---,S31603,0.035,2.00,1.00,0.045,0.030,16.0-18.0,10.0-15.0,2.00-3.00,---
5.3.2A Chemical Composition of Austenitic Stainless Steel Tubes for General and Structural Applications,ASTM A 511-96,MT 316L,---,---,0.035,2.00,1.00,0.040,0.030,16.0-18.0,10.0-15.0,2.0-3.0,---
5.3.2A Chemical Composition of Austenitic Stainless Steel Tubes for General and Structural Applications,ASTM A 554-03,MT-316L,---,---,0.035,2.00,1.00,0.040,0.030,16.0-18.0,10.0-15.0,2.0-3.0,---
5.3.2A Chemical Composition of Austenitic Stainless Steel Tubes for General and Structural Applications,ASTM A 632-02a,TP 316L,---,S31603,0.030,2.00,0.75,0.045,0.030,16.0-18.0,10.0-15.0,2.00-3.00,---
5.3.2A Chemical Composition of Austenitic Stainless Steel Tubes for General and Structural Applications,ASTM A 778-01,TP 316L,---,S31603,0.030,2.00,1.00,0.045,0.030,16.0-18.0,10.0-14.0,2.00-3.00,N 0.10
5.3.2A Chemical Composition of Austenitic Stainless Steel Tubes for General and Structural Applications,BS 6323-8:1982 AMD 2:1989,LW 22,---,---,0.03,2.00,1.00,0.045,0.030,16.5-18.5,11.5-14.5,2.5-3.0,---
5.3.2A Chemical Composition of Austenitic Stainless Steel Tubes for General and Structural Applications,BS 6323-8:1982 AMD 2:1989,LWCF 22,---,---,0.03,2.00,1.00,0.045,0.030,16.5-18.5,11.5-14.5,2.5-3.0,---
5.3.2A Chemical Composition of Austenitic Stainless Steel Tubes for General and Structural Applications,DIN 17455:1999,X2CrNiMo17-12-2,1.4404,---,0.030,2.00,1.00,0.045,0.015,16.50-18.50,10.00-13.00,2.00-2.50,N 0.11
5.3.2A Chemical Composition of Austenitic Stainless Steel Tubes for General and Structural Applications,DIN 17455:1999,X2CrNiMo18-14-3,1.4435,---,0.030,2.00,1.00,0.045,0.015,17.00-19.00,12.50-15.00,2.50-3.00,N 0.11
5.3.2A Chemical Composition of Austenitic Stainless Steel Tubes for General and Structural Applications,DIN 17456:1999,X2CrNiMo17-12-2,1.4404,---,0.030,2.0,1.00,0.045,0.015,16.50-18.50,10.00-13.00,2.00-2.50,N 0.11
5.3.2A Chemical Composition of Austenitic Stainless Steel Tubes for General and Structural Applications,DIN 17456:1999,X2CrNiMo18-14-3,1.4435,---,0.030,2.0,1.00,0.045,0.015,17.00-19.00,12.50-15.00,2.50-3.00,N 0.11
5.3.2A Chemical Composition of Austenitic Stainless Steel Tubes for General and Structural Applications,AFNOR NF A 49-317:1980,TU Z 2 CND 17-12,---,---,0.030,2.00,1.00,0.040,0.030,16-18.0,10.5-13.00,2.00-2.40,---
5.3.2A Chemical Composition of Austenitic Stainless Steel Tubes for General and Structural Applications,ASTM A 269-02a,TP316LN,---,S31653,0.035,2.00,1.00,0.045,0.030,16.0-18.0,10.0-13.0,2.00-3.00,N 0.10-0.16
5.3.2A Chemical Composition of Austenitic Stainless Steel Tubes for General and Structural Applications,DIN 17455:1999,X2CrNiMoN17-13-3,1.4429,---,0.030,2.00,1.00,0.045,0.015,16.50-18.50,11.00-14.00,2.50-3.00,N 0.12-0.22
5.3.2A Chemical Composition of Austenitic Stainless Steel Tubes for General and Structural Applications,DIN 17456:1999,X2CrNiMoN17-13-3,1.4429,---,0.030,2.0,1.00,0.045,0.015,16.50-18.50,11.00-14.00,2.50-3.00,N 0.12-0.22
