Section,Standard Designation,"Grade, Class, Type, Symbol or Name",Steel Number,UNS Number,C,Mn,Si,P,S,Cr,Ni,Mo,Others
5.8.7A Chemical Composition of 5Cr-1/2Mo Alloy Steel Tubes and Pipes for Pressure Purposes at High Temperatures,ASTM A 213/A 213M-03a,T5,---,K41545,0.15,0.30-0.60,0.50,0.025,0.025,4.00-6.00,---,0.45-0.65,---
5.8.7A Chemical Composition of 5Cr-1/2Mo Alloy Steel Tubes and Pipes for Pressure Purposes at High Temperatures,ASTM A 213/A 213M-03a,T5b,---,K51545,0.15,0.30-0.60,1.00-2.00,0.025,0.025,4.00-6.00,---,0.45-0.65,---
5.8.7A Chemical Composition of 5Cr-1/2Mo Alloy Steel Tubes and Pipes for Pressure Purposes at High Temperatures,ASTM A 335/A 335M-03,P5,---,K41545,0.15,0.30-0.60,0.50,0.025,0.025,4.00-6.00,---,0.45-0.65,---
5.8.7A Chemical Composition of 5Cr-1/2Mo Alloy Steel Tubes and Pipes for Pressure Purposes at High Temperatures,EN 10216-2:2002,X11CrMo5+I,1.7362+I,---,0.08-0.15,0.30-0.60,0.15-0.50,0.025,0.020,4.00-6.00,---,0.45-0.65,Al 0.040; Cu 0.30
5.8.7A Chemical Composition of 5Cr-1/2Mo Alloy Steel Tubes and Pipes for Pressure Purposes at High Temperatures,EN 10216-2:2002,X11CrMo5+NT1,1.7362+NT1,---,0.08-0.15,0.30-0.60,0.15-0.50,0.025,0.020,4.00-6.00,---,0.45-0.65,Al 0.040; Cu 0.30
5.8.7A Chemical Composition of 5Cr-1/2Mo Alloy Steel Tubes and Pipes for Pressure Purposes at High Temperatures,EN 10216-2:2002,X11CrMo5+NT2,1.7362+NT2,,0.08-0.15,0.30-0.60,0.15-0.50,0.025,0.020,4.00-6.00,---,0.45-0.65,Al 0.040; Cu 0.30
5.8.7A Chemical Composition of 5Cr-1/2Mo Alloy Steel Tubes and Pipes for Pressure Purposes at High Temperatures,JIS G 3458:1988,STPA 25,---,---,0.15,0.30-0.60,0.50,0.030,0.030,4.00-6.00,---,0.45-0.65,---
5.8.7A Chemical Composition of 5Cr-1/2Mo Alloy Steel Tubes and Pipes for Pressure Purposes at High Temperatures,JIS G 3462:1988,STBA 25,---,---,0.15,0.30-0.60,0.50,0.030,0.030,4.00-6.00,---,0.45-0.65,---
5.8.7A Chemical Composition of 5Cr-1/2Mo Alloy Steel Tubes and Pipes for Pressure Purposes at High Temperatures,JIS G 3467:1988,STFA 25,---,---,0.15,0.30-0.60,0.50,0.030,0.030,4.00-6.00,---,0.45-0.65,---
5.8.7A Chemical Composition of 5Cr-1/2Mo Alloy Steel Tubes and Pipes for Pressure Purposes at High Temperatures,ISO 2604-II:1975,TS 37,---,---,0.15,0.30-0.60,0.50,0.030,0.030,4.00-6.00,---,0.45-0.65,Al 0.02
