Section,Standard Designation,"Grade, Class, Type, Symbol or Name",Steel Number,UNS Number,C,Mn,Si,P,S,Cr,Ni,Mo,Others
9.3.2.1-9.3.2.2 Chemical Composition of High Speed Tool Steels (Tungsten and Molybdenum Type),SAE J438-1970,M4,---,T11304,1.25-1.40,0.20-0.40,0.20-0.40,---,---,4.00--4.75,---,4.50-5.50,V 3.90-4.50; W 5.25-6.50
9.3.2.1-9.3.2.2 Chemical Composition of High Speed Tool Steels (Tungsten and Molybdenum Type),JIS G 4403:2000,SKH54,---,---,1.25-1.40,0.40,0.40,0.030,0.030,3.80-4.50,0.25,4.50-5.50,V 3.90-4.50; W 5.30-6.50; Cu 0.25
9.3.2.1-9.3.2.2 Chemical Composition of High Speed Tool Steels (Tungsten and Molybdenum Type),ISO 4957:1999,HS6-5-4,---,---,1.25-1.40,0.40,0.45,0.030,0.030,3.80-4.50,---,4.20-5.00,V 3.70-4.20; W 5.20-6.00
9.3.2.1-9.3.2.2 Chemical Composition of High Speed Tool Steels (Tungsten and Molybdenum Type),ASTM A 600-92a (1999),M7,---,T11307,0.97-1.05,0.15-0.40,0.20-0.55,0.03,0.03,3.50-4.00,---,8.20-9.20,V 1.75-2.25; W 1.40-2.10; Ni+Cu 0.75
9.3.2.1-9.3.2.2 Chemical Composition of High Speed Tool Steels (Tungsten and Molybdenum Type),JIS G 4403:2000,SKH58,---,---,0.95-1.05,0.40,0.50,0.030,0.030,3.50-4.50,0.25,8.20-9.20,V1.70-2.20; W 1.50-2.10; Cu 0.25
9.3.2.1-9.3.2.2 Chemical Composition of High Speed Tool Steels (Tungsten and Molybdenum Type),ISO 4957:1999,HS2-9-2,---,---,0.95-1.05,0.40,0.70,0.030,0.030,3.50-4.50,---,8.20-9.20,V 1.70-2.20; W 1.50-210
9.3.2.1-9.3.2.2 Chemical Composition of High Speed Tool Steels (Tungsten and Molybdenum Type),ASTM A 600-92a (1999),M36,---,T11336,0.80-0.90,0.15-0.40,0.20-0.45,0.03,0.03,3.75-4.50,---,4.50-5.50,V 1.75-2.25; W 5.50-6.50; Co 7.75-8.75; Ni+Cu 0.75
9.3.2.1-9.3.2.2 Chemical Composition of High Speed Tool Steels (Tungsten and Molybdenum Type),JIS G 4403:2000,SKH56,---,---,0.85-0.95,0.40,0.40,0.030,0.030,3.80-4.50,0.25,4.60-5.30,V 1.70-2.20; W 5.70-6.70; Co 7.00-9.00; Cu 0.25
9.3.2.1-9.3.2.2 Chemical Composition of High Speed Tool Steels (Tungsten and Molybdenum Type),ASTM A 600-92a (1999),M42,---,T11342,1.05-1.15,0.15-0.40,0.15-0.65,0.03,0.03,3.50-4.25,---,9.00-10.00,V 0.95-1.35; W 1.15-1.85; Co 7.75-8.75; Ni+Cu 0.75
9.3.2.1-9.3.2.2 Chemical Composition of High Speed Tool Steels (Tungsten and Molybdenum Type),JIS G 4403:2000,SKH59,---,---,1.00-1.15,0.40,0.25,0.030,0.030,3.50-4.50,---,9.00-10.00,V 0.90-1.40; W 1.20-1.90; Cu 0.25
9.3.2.1-9.3.2.2 Chemical Composition of High Speed Tool Steels (Tungsten and Molybdenum Type),ISO 4957:1999,HS2-9-1-8,---,---,1.05-1.15,0.70,0.45,0.030,0.030,3.50-4.50,---,9.00-10.0,V 0.90-1.30; W 1.20-1.90; Co 7.50-8.50
9.3.2.1-9.3.2.2 Chemical Composition of High Speed Tool Steels (Tungsten and Molybdenum Type),JIS G 4403:2000,SKH55,---,---,0.85-0.95,0.40,0.40,0.030,0.030,3.80-4.50,0.25,4.60-5.30,V 1.70-2.20; W 5.70-6.70; Co 4.50-5.50; Cu 0.25
9.3.2.1-9.3.2.2 Chemical Composition of High Speed Tool Steels (Tungsten and Molybdenum Type),ISO 4957:1999,HS6-5-2-5,---,---,0.87-0.95,0.40,0.45,0.030,0.030,3.80-4.50,---,4.70-5.20,V 1.70-2.10; W 5.90-6.70; Co 4.50-5.00
9.3.2.1-9.3.2.2 Chemical Composition of High Speed Tool Steels (Tungsten and Molybdenum Type),JIS G 4403:2000,SKH57,---,---,1.20-1.35,0.40,0.40,0.030,0.030,3.80-4.50,0.25,3.00-4.00,V 3.00-3.70; W 9.00-11.00; Co 9.00-11.00; Cu 0.25
9.3.2.1-9.3.2.2 Chemical Composition of High Speed Tool Steels (Tungsten and Molybdenum Type),ISO 4957:1999,HS10-4-3-10,---,---,1.20-1.35,0.40,0.45,0.030,0.030,3.80-4.50,---,3.20-3.90,V 3.00-3.50; W 9.00-10.00; Co 9.50-10.50
