Section,Standard Designation,"Grade, Class, Type, Symbol or Name",Steel Number,UNS Number,C,Mn,Si,P,S,Cr,Ni,Mo,Others
"6.2.2.14A Chemical Composition of 3.5Ni-1.75Cr-1/2Mo Alloy Steel Forgings for Piping, Pressure Vessel and Components",ASTM A 541/A 541M-95 (1999),"4N, Class 3",---,---,0.23,0.20-0.40,0.30,0.025,0.025,1.25-2.00,2.8-3.9,0.40-0.60,V 0.03
"6.2.2.14A Chemical Composition of 3.5Ni-1.75Cr-1/2Mo Alloy Steel Forgings for Piping, Pressure Vessel and Components",JIS G 3204:1988,SFVQ 3,---,---,0.23,0.20-0.40,0.40,0.020,0.020,1.50-2.00,2.75-3.90,0.40-0.60,V 0.03
"6.2.2.14A Chemical Composition of 3.5Ni-1.75Cr-1/2Mo Alloy Steel Forgings for Piping, Pressure Vessel and Components",ASTM A 508/A 508M-03a,"4N, Class 3",---,---,0.23,0.20-0.40,---,0.020,0.020,1.50-2.00,2.8-3.9,0.40-0.60,V 0.03
