Section,Standard Designation,"Grade, Class, Type, Symbol or Name",Steel Number,UNS Number,C,Mn,Si,P,S,Cr,Ni,Mo,Others
6.3.4A Chemical Composition of Precipitation-Hardening Stainless Steel Forgings,JIS G 3214:1991,SUS F 630,---,---,0.07,1.00,1.00,0.040,0.030,15.00-17.50,3.00-5.00,---,Cu 3.00-5.00; Nb 0.15-0.45
6.3.4A Chemical Composition of Precipitation-Hardening Stainless Steel Forgings,ASTM A 705/A 705M-95(2000),630,---,S17400,0.07,1.00,1.00,0.040,0.030,15.00-17.50,3.00-5.00,---,Cu 3.00-5.00; Cb+Ta 0.15-0.45
6.3.4A Chemical Composition of Precipitation-Hardening Stainless Steel Forgings,EN 10250-4:1999,X5CrNiCuNb16-4,1.4542,---,0.07,1.50,0.70,0.040,0.030,15.00-17.00,3.00-5.00,0.60,Cu 3.00-5.00; Nb 5 x C to 0.45
