Section,Standard Designation,"Grade, Class, Type, Symbol or Name",Steel Number,UNS Number,C,Mn,Si,P,S,Cr,Ni,Mo,Others
6.3.3A Chemical Composition of Austenitic Stainless Steel Forgings,ASTM A 182/A 182M-02,F 310,---,S31000,0.25,2.00,1.00,0.045,0.030,24.0-26.0,19.0-22.0,---,---
6.3.3A Chemical Composition of Austenitic Stainless Steel Forgings,ASTM A 182/A 182M-02,F310H,---,S31009,0.04-0.10,2.00,1.00,0.045,0.030,24.0-26.0,19.0-22.0,---,---
6.3.3A Chemical Composition of Austenitic Stainless Steel Forgings,ASTM A 473-01,310,---,S31000,0.25,2.00,1.00,0.045,0.030,24.0-26.0,19.0-22.0,---,---
6.3.3A Chemical Composition of Austenitic Stainless Steel Forgings,ASTM A 965/A 965M-02,F 310,---,S31000,0.25,2.00,1.00,0.045,0.030,24.0-26.0,19.0-22.0,---,---
6.3.3A Chemical Composition of Austenitic Stainless Steel Forgings,ASTM A 965/A 965M-02,F310H,---,S31009,0.04-0.10,2.00,1.00,0.045,0.030,24.0-26.0,19.0-22.0,---,---
6.3.3A Chemical Composition of Austenitic Stainless Steel Forgings,JIS G 3214:1991,SUS F 310,---,---,0.15,2.00,1.00,0.040,0.030,24.00-26.00,19.00-22.00,---,---
6.3.3A Chemical Composition of Austenitic Stainless Steel Forgings,EN 10250-4:1999,X5CrNiMo17-12-2,1.4401,---,0.07,2.00,1.00,0.045,0.030,16.50-18.50,10.00-13.00,2.00-2.50,N 0.11
6.3.3A Chemical Composition of Austenitic Stainless Steel Forgings,EN 10250-4:1999,X3CrNiMo17-13-3,1.4436,---,0.05,2.00,1.00,0.045,0.030,16.50-18.50,10.50-13.00,2.50-3.00,N 0.11
6.3.3A Chemical Composition of Austenitic Stainless Steel Forgings,EN 10222-5:1999,X5CrNiMo17-12-2,1.4401,---,0.07,2.00,1.00,0.045,0.015,16.50-18.50,10.00-13.00,2.00-2.50,N 0.11
6.3.3A Chemical Composition of Austenitic Stainless Steel Forgings,EN 10222-5:1999,X3CrNiMo17-13-3,1.4436,---,0.05,2.00,1.00,0.045,0.015,16.50-18.50,10.50-13.00,2.50-3.00,N 0.11
6.3.3A Chemical Composition of Austenitic Stainless Steel Forgings,ISO 9327-5:1999,X5CrNiMo17-12,---,---,0.07,2.00,1.00,0.045,0.030,16.50-18.50,10.50-13.50,2.00-2.50,---
6.3.3A Chemical Composition of Austenitic Stainless Steel Forgings,ISO 9327-5:1999,X5CrNiMo17-13,---,---,0.07,2.00,1.00,0.045,0.030,16.50-18.50,11.00-14.00,2.50-3.00,---
6.3.3A Chemical Composition of Austenitic Stainless Steel Forgings,ASTM A 182/A 182M-02,F 316,---,S31600,0.08,2.00,1.00,0.045,0.030,16.0-18.0,10.0-14.0,2.00-3.00,---
6.3.3A Chemical Composition of Austenitic Stainless Steel Forgings,ASTM A 473-01,316,---,S31600,0.08,2.00,1.00,0.045,0.030,16.0-18.0,10.0-14.0,2.00-3.00,---
6.3.3A Chemical Composition of Austenitic Stainless Steel Forgings,ASTM A 965/A 965M-02,F 316,---,S31600,0.08,2.00,1.00,0.045,0.030,16.0-18.0,10.0-14.0,2.00-3.00,---
6.3.3A Chemical Composition of Austenitic Stainless Steel Forgings,JIS G 3214:1991,SUS 316,---,---,0.08,2.00,1.00,0.040,0.030,16.00-18.00,10.00-14.00,2.00-3.00,---
6.3.3A Chemical Composition of Austenitic Stainless Steel Forgings,JIS G 3214:1991,SUS F 316L,---,---,0.030,2.00,1.00,0.040,0.030,16.00-18.00,12.00-15.00,2.00-3.00,---
6.3.3A Chemical Composition of Austenitic Stainless Steel Forgings,ASTM A 182/A 182M-02,F 316L,---,S31603,0.030,2.00,1.00,0.045,0.030,16.0-18.0,10.0-15.0,2.0-3.0,---
6.3.3A Chemical Composition of Austenitic Stainless Steel Forgings,ASTM A 473-01,316L,---,S31603,0.030,2.00,1.00,0.045,0.030,16.0-18.0,10.0-15.0,2.0-3.0,---
6.3.3A Chemical Composition of Austenitic Stainless Steel Forgings,ASTM A 965/A 965M-02,F 316L,---,S31603,0.030,2.00,1.00,0.045,0.030,16.0-18.0,10.0-15.0,2.0-3.0,---
6.3.3A Chemical Composition of Austenitic Stainless Steel Forgings,EN 10222-5:1999,X2CrNiMo17-12-2,1.4404,---,0.030,2.00,1.00,0.045,0.015,16.50-18.50,10.00-13.00,2.00-2.50,N 0.11
6.3.3A Chemical Composition of Austenitic Stainless Steel Forgings,EN 10222-5:1999,X2CrNiMo17-12-3,1.4432,---,0.030,2.00,1.00,0.045,0.015,16.50-18.50,10.50-13.00,2.50-3.00,N 0.11
6.3.3A Chemical Composition of Austenitic Stainless Steel Forgings,ISO 9327-5:1999,X2CrNiMo17-12,---,---,0.030,2.00,1.00,0.045,0.030,16.50-18.50,11.00-14.00,2.00-2.50,---
6.3.3A Chemical Composition of Austenitic Stainless Steel Forgings,ISO 9327-5:1999,X2CrNiMo17-13,---,---,0.030,2.00,1.00,0.045,0.030,16.50-18.50,11.50-14.50,2.50-3.00,---
6.3.3A Chemical Composition of Austenitic Stainless Steel Forgings,EN 10250-4:1999,X2CrNiMo17-12-2,1.4404,---,0.030,2.00,1.00,0.045,0.030,16.50-18.50,10.00-13.00,2.00-2.50,N 0.11
6.3.3A Chemical Composition of Austenitic Stainless Steel Forgings,EN 10250-4:1999,X2CrNiMo18-14-3,1.4435,---,0.030,2.00,1.00,0.045,0.030,17.00-19.00,12.50-15.00,2.50-3.00,N 0.11
6.3.3A Chemical Composition of Austenitic Stainless Steel Forgings,EN 10222-5:1999,X2CrNiMo18-14-3,1.4435,---,0.030,2.00,1.00,0.045,0.015,17.00-19.00,12.50-15.00,2.50-3.00,N 0.11
6.3.3A Chemical Composition of Austenitic Stainless Steel Forgings,ASTM A 182/A 182M-02,F 316N,---,S31651,0.08,2.00,1.00,0.045,0.030,16.0-18.0,11.0-14.0,2.00-3.00,N 0.10-0.16
6.3.3A Chemical Composition of Austenitic Stainless Steel Forgings,ASTM A 965/A 965M-02,F 316N,---,S31651,0.08,2.00,1.00,0.045,0.030,16.0-18.0,11.0-14.0,2.00-3.00,N 0.10-0.16
6.3.3A Chemical Composition of Austenitic Stainless Steel Forgings,JIS G 3214:1991,SUS F 316N,---,---,0.08,2.00,0.75,0.040,0.030,16.00-18.00,11.00-14.00,2.00-3.00,N 0.10-0.16
6.3.3A Chemical Composition of Austenitic Stainless Steel Forgings,ASTM A 182/A 182M-02,F 316LN,---,S31653,0.030,2.00,1.00,0.045,0.030,16.0-18.0,11.0-14.0,2.00-3.00,
6.3.3A Chemical Composition of Austenitic Stainless Steel Forgings,ASTM A 965/A 965M-02,F 316LN,---,S31653,0.030,2.00,1.00,0.045,0.030,16.0-18.0,11.0-14.0,2.00-3.00,
6.3.3A Chemical Composition of Austenitic Stainless Steel Forgings,JIS G 3214:1991,SUS F 316LN,---,---,0.030,2.00,1.00,0.040,0.030,16.00-18.00,10.00-14.00,2.00-3.00,
6.3.3A Chemical Composition of Austenitic Stainless Steel Forgings,EN 10222-5:1999,X2CrNiMoN17-11-2,1.4406,---,0.030,2.00,1.00,0.045,0.015,16.50-18.50,10.00-12.00,2.00-2.50,
6.3.3A Chemical Composition of Austenitic Stainless Steel Forgings,EN 10222-5:1999,X2CrNiMoN17-13-3,1.4429,---,0.030,2.00,1.00,0.045,0.015,16.50-18.50,11.00-14.00,2.50-3.00,
6.3.3A Chemical Composition of Austenitic Stainless Steel Forgings,ISO 9327-5:1999,X2CrNiMoN17-12,---,---,0.030,2.00,1.00,0.045,0.030,16.50-18.50,10.50-13.50,2.00-2.50,
6.3.3A Chemical Composition of Austenitic Stainless Steel Forgings,ISO 9327-5:1999,X2CrNiMoN17-13,---,---,0.030,2.00,1.00,0.045,0.030,16.50-18.50,11.50-14.50,2.50-3.00,
6.3.3A Chemical Composition of Austenitic Stainless Steel Forgings,EN 10250-4:1999,X2CrNiMoN17-11-2,1.4406,---,0.030,2.00,1.00,0.045,0.030,16.50-18.50,10.00-12.00,2.00-2.50,
6.3.3A Chemical Composition of Austenitic Stainless Steel Forgings,EN 10250-4:1999,X2CrNiMo17-13-3,1.4429,---,0.030,2.00,1.00,0.045,0.015,16.50-18.50,11.00-14.00,2.50-3.00,
6.3.3A Chemical Composition of Austenitic Stainless Steel Forgings,ISO 9327-5:1999,X7CrNiMo17-12,---,---,0.04-0.10,2.00,1.00,0.045,0.030,16.50-18.50,10.50-13.50,2.00-2.50,
6.3.3A Chemical Composition of Austenitic Stainless Steel Forgings,ASTM A 182/A 182M-02,F 316H,---,S31609,0.04-0.10,2.00,1.00,0.045,0.030,16.0-18.0,10.0-14.0,2.00-3.00,
6.3.3A Chemical Composition of Austenitic Stainless Steel Forgings,ASTM A 965/A 965M-02,F 316H,---,S31609,0.04-0.10,2.00,1.00,0.045,0.030,16.0-18.0,10.0-14.0,2.00-3.00,
6.3.3A Chemical Composition of Austenitic Stainless Steel Forgings,JIS G 3214:1991,SUS 316H,---,---,0.04-0.10,2.00,1.00,0.040,0.030,16.00-18.00,10.00-14.00,2.00-3.00,
6.3.3A Chemical Composition of Austenitic Stainless Steel Forgings,EN 10250-4:1999,X6CrNiMoTi17-12-2,1.4571,---,0.08,2.00,1.00,0.045,0.030,16.50-18.50,10.50-13.50,2.00-2.50,
