Section,Standard Designation,"Grade, Class, Type, Symbol or Name",Steel Number,UNS Number,C,Mn,Si,P,S,Cr,Ni,Mo,Others
9.1.1 Chemical Composition of Resulfurized Carbon Steels for Free-Machining Applications,ASTM A 576-90b (2000),1144,---,G11440,0.40-0.48,1.35-1.65,---,0.040,0.24-0.33,---,---,---,---
9.1.1 Chemical Composition of Resulfurized Carbon Steels for Free-Machining Applications,SAE J403-NOV01,1144,---,G11440,0.40-0.48,1.35-1.65,---,0.030,0.24-0.33,---,---,---,---
9.1.1 Chemical Composition of Resulfurized Carbon Steels for Free-Machining Applications,JIS G 4804:1999,SUM 43,---,---,0.40-0.48,1.35-1.65,---,0.040,0.24-0.33,---,---,---,---
9.1.1 Chemical Composition of Resulfurized Carbon Steels for Free-Machining Applications,EN 10087:1998,44SMn28,1.0762,---,0.40-0.48,1.30-1.70,0.40,0.06,0.24-0.33,---,---,---,---
9.1.1 Chemical Composition of Resulfurized Carbon Steels for Free-Machining Applications,EN 10277-3:1999,44SMn28,1.0762,---,0.40-0.48,1.30-1.70,0.40,0.06,0.24-0.33,---,---,---,---
9.1.1 Chemical Composition of Resulfurized Carbon Steels for Free-Machining Applications,ISO 683-9:1988,44 SMn 28,---,---,0.40-0.48,1.30-1.70,0.15-0.40,0.06,0.24-0.33,---,---,---,---
9.1.1 Chemical Composition of Resulfurized Carbon Steels for Free-Machining Applications,ASTM A 29/A 29M-03,1146,---,G11460,0.42-0.49,0.70-1.00,---,0.040,0.08-0.13,---,---,---,---
9.1.1 Chemical Composition of Resulfurized Carbon Steels for Free-Machining Applications,ASTM A 576-90b (2000),1146,---,G11460,0.42-0.49,0.70-1.00,---,0.040,0.08-0.13,---,---,---,---
9.1.1 Chemical Composition of Resulfurized Carbon Steels for Free-Machining Applications,SAE J403-NOV01,1146,---,G11460,0.42-0.49,0.70-1.00,---,0.030,0.08-0.13,---,---,---,---
9.1.1 Chemical Composition of Resulfurized Carbon Steels for Free-Machining Applications,EN 10087:1998,46S20,1.0727,---,0.42-0.50,0.70-1.10,0.40,0.06,0.15-0.25,---,---,---,---
9.1.1 Chemical Composition of Resulfurized Carbon Steels for Free-Machining Applications,EN 10277-3:1999,46S20,1.0727,---,0.42-0.50,0.70-1.10,0.40,0.06,0.15-0.25,---,---,---,---
9.1.1 Chemical Composition of Resulfurized Carbon Steels for Free-Machining Applications,ISO 683-9:1988,46 S 20,---,---,0.42-0.50,0.70-1.10,0.15-0.40,0.06,0.15-0.25,---,---,---,---
9.1.1 Chemical Composition of Resulfurized Carbon Steels for Free-Machining Applications,ASTM A 29/A 29M-03,1151,---,G11510,0.48-0.55,0.70-1.00,---,0.040,0.08-0.13,---,---,---,---
9.1.1 Chemical Composition of Resulfurized Carbon Steels for Free-Machining Applications,ASTM A 576-90b (2000),1151,---,G11510,0.48-0.55,0.70-1.00,---,0.040,0.08-0.13,---,---,---,---
9.1.1 Chemical Composition of Resulfurized Carbon Steels for Free-Machining Applications,SAE J403-NOV01,1151,---,G11510,0.48-0.55,0.70-1.00,---,0.030,0.08-0.13,---,---,---,---
