Section,Standard Designation,"Grade, Class, Type, Symbol or Name",Steel Number,UNS Number,C,Mn,Si,P,S,Cr,Ni,Mo,Others
5.7B Chemical Composition of Carbon Steel Tubes and Pipes for Pressure Purposes at High Temperatures,EN 10217-2:2002,P235GH,1.0345,---,0.16,1.20,0.35,0.025,0.020,0.30,0.30,0.08,Cu 0.30; Nb 0.010; Ti 0.03; V 0.02; Al 0.020 min; Cr+Cu+Mo+Ni 0.70
5.7B Chemical Composition of Carbon Steel Tubes and Pipes for Pressure Purposes at High Temperatures,EN 10217-5:2002,P235GH,1.0345,---,0.16,1.20,0.35,0.025,0.020,0.30,0.30,0.08,Cu 0.30; Nb 0.010; Ti 0.03; V 0.02; Al 0.020 min; Cr+Cu+Mo+Ni 0.70
5.7B Chemical Composition of Carbon Steel Tubes and Pipes for Pressure Purposes at High Temperatures,JIS G 3455:1988,STS 370,---,---,0.25,0.30-1.10,0.10-0.35,0.035,0.035,---,---,---,---
5.7B Chemical Composition of Carbon Steel Tubes and Pipes for Pressure Purposes at High Temperatures,JIS G 3456:1988,STPT 370,---,---,0.25,0.30-0.90,0.10-0.35,0.035,0.035,---,---,---,---
5.7B Chemical Composition of Carbon Steel Tubes and Pipes for Pressure Purposes at High Temperatures,AFNOR NF A 49-220:1990,TU 42 C,---,---,0.20,0.45-1.00,0.08-0.35,0.025,0.025,---,---,---,---
5.7B Chemical Composition of Carbon Steel Tubes and Pipes for Pressure Purposes at High Temperatures,ISO 2604-II:1975,TS 9,---,---,0.21,0.40-1.20,0.35,0.045,0.045,---,---,---,---
5.7B Chemical Composition of Carbon Steel Tubes and Pipes for Pressure Purposes at High Temperatures,ISO 2604-II:1975,TS 9H,---,---,0.21,0.40-1.20,0.35,0.045,0.045,---,---,---,---
5.7B Chemical Composition of Carbon Steel Tubes and Pipes for Pressure Purposes at High Temperatures,ISO 2604-II:1975,TS 10,---,---,0.19,0.60-1.20,0.35,0.045,0.045,---,---,---,Al 0.015
5.7B Chemical Composition of Carbon Steel Tubes and Pipes for Pressure Purposes at High Temperatures,ISO 2604-III:1975,TW 9,---,---,0.21,0.40-1.20,0.35,0.045,0.045,---,---,---,---
5.7B Chemical Composition of Carbon Steel Tubes and Pipes for Pressure Purposes at High Temperatures,ISO 2604-III:1975,TW 9H,---,---,0.21,0.40-1.20,0.35,0.045,0.045,---,---,---,---
5.7B Chemical Composition of Carbon Steel Tubes and Pipes for Pressure Purposes at High Temperatures,ISO 2604-III:1975,TW 10,---,---,0.19,0.60-1.20,0.35,0.045,0.045,---,---,---,Al 0.015
5.7B Chemical Composition of Carbon Steel Tubes and Pipes for Pressure Purposes at High Temperatures,JIS G 3455:1988,STS 410,---,---,0.30,0.30-1.40,0.10-0.35,0.035,0.035,---,---,---,---
5.7B Chemical Composition of Carbon Steel Tubes and Pipes for Pressure Purposes at High Temperatures,JIS G 3456:1988,STPT 410,---,---,0.30,0.30-1.00,0.10-0.35,0.035,0.035,---,---,---,---
5.7B Chemical Composition of Carbon Steel Tubes and Pipes for Pressure Purposes at High Temperatures,JIS G 3467:1988,STF 410,---,---,0.30,0.30-1.00,0.10-0.35,0.035,0.035,---,---,---,---
5.7B Chemical Composition of Carbon Steel Tubes and Pipes for Pressure Purposes at High Temperatures,JIS G 3461:1988,STB 410,---,---,0.32,0.30-0.80,0.35,0.035,0.035,---,---,---,---
5.7B Chemical Composition of Carbon Steel Tubes and Pipes for Pressure Purposes at High Temperatures,ASTM A 556/A 556M-96 (2001),B2,---,K02707,0.27,0.29-0.93,0.10,0.035,0.035,---,---,---,---
5.7B Chemical Composition of Carbon Steel Tubes and Pipes for Pressure Purposes at High Temperatures,EN 10216-2:2002,P265GH,1.0425,---,0.20,1.40,0.40,0.025,0.020,0.30,0.30,0.08,Al 0.020; Cu 0.30; Nb 0.010; Ti 0.040; V 0.02;Cr+Cu+Mo+Ni 0.70
5.7B Chemical Composition of Carbon Steel Tubes and Pipes for Pressure Purposes at High Temperatures,EN 10217-2:2002,P265GH,1.0425,---,0.20,1.40,0.40,0.025,0.020,0.30,0.30,0.08,Cu 0.30; Nb 0.010; Ti 0.03; V 0.02; Al 0.020 min; Cr+Cu+Mo+Ni 0.70
5.7B Chemical Composition of Carbon Steel Tubes and Pipes for Pressure Purposes at High Temperatures,EN 10217-5:2002,P265GH,1.0425,---,0.20,1.40,0.40,0.025,0.020,0.30,0.30,0.08,Cu 0.30; Nb 0.010; Ti 0.03; V 0.02; Al 0.020 min; Cr+Cu+Mo+Ni 0.70
5.7B Chemical Composition of Carbon Steel Tubes and Pipes for Pressure Purposes at High Temperatures,ASTM A 106-02a,B,---,K03006,0.30,0.29-1.06,≥ 0.10,0.035,0.035,0.40,0.40,0.15,Cu 0.40; V 0.08; Cu+Ni+Cr+Mo+V 1.0
5.7B Chemical Composition of Carbon Steel Tubes and Pipes for Pressure Purposes at High Temperatures,ASTM A 178/A 178M-02*,C,---,K03503,0.35,0.80,---,0.035,0.035,---,---,---,---
5.7B Chemical Composition of Carbon Steel Tubes and Pipes for Pressure Purposes at High Temperatures,ASTM A 210/A 210M-02,A-1,---,K02707,0.27,0.93,0.10,0.035,0.035,---,---,---,---
5.7B Chemical Composition of Carbon Steel Tubes and Pipes for Pressure Purposes at High Temperatures,DIN 1630:1984,St 44.4,1.0257,---,0.20,≥ 0.40,0.35,0.040,0.040,---,---,---,N fixing elements
5.7B Chemical Composition of Carbon Steel Tubes and Pipes for Pressure Purposes at High Temperatures,AFNOR NF A 49-220:1990,TU 48 C,---,---,0.22,0.65-1.25,0.10-0.35,0.025,0.025,---,---,---,---
5.7B Chemical Composition of Carbon Steel Tubes and Pipes for Pressure Purposes at High Temperatures,JIS G 3455:1988,STS 480,---,---,0.33,0.30-1.50,0.10-0.35,0.035,0.035,---,---,---,---
5.7B Chemical Composition of Carbon Steel Tubes and Pipes for Pressure Purposes at High Temperatures,JIS G 3456:1988,STPT 480,---,---,0.33,0.30-1.00,0.10-0.35,0.035,0.035,---,---,---,---
5.7B Chemical Composition of Carbon Steel Tubes and Pipes for Pressure Purposes at High Temperatures,ISO 2604-II:1975,TS 13,---,---,0.22,0.60-1.40,0.35,0.045,0.045,---,---,---,---
5.7B Chemical Composition of Carbon Steel Tubes and Pipes for Pressure Purposes at High Temperatures,ISO 2604-II:1975,TS 14,---,---,0.22,0.80-1.40,0.35,0.045,0.045,---,---,---,---
5.7B Chemical Composition of Carbon Steel Tubes and Pipes for Pressure Purposes at High Temperatures,ISO 2604-II:1975,TS 15,---,---,0.20,0.80-1.40,0.35,0.045,0.045,---,---,---,Al 0.015
5.7B Chemical Composition of Carbon Steel Tubes and Pipes for Pressure Purposes at High Temperatures,ISO 2604-III:1975,TW 13,---,---,0.22,0.60-1.40,0.35,0.045,0.045,---,---,---,---
5.7B Chemical Composition of Carbon Steel Tubes and Pipes for Pressure Purposes at High Temperatures,ISO 2604-III:1975,TW 14,---,---,0.22,0.80-1.40,0.35,0.045,0.045,---,---,---,---
5.7B Chemical Composition of Carbon Steel Tubes and Pipes for Pressure Purposes at High Temperatures,ISO 2604-III:1975,TW 15,---,---,0.20,0.80-1.40,0.35,0.045,0.045,---,---,---,Al 0.015
5.7B Chemical Composition of Carbon Steel Tubes and Pipes for Pressure Purposes at High Temperatures,ASTM A 556/A 556M-96 (2001),C2,---,K03006,0.30,0.29-1.06,0.10,0.035,0.035,---,---,---,---
5.7B Chemical Composition of Carbon Steel Tubes and Pipes for Pressure Purposes at High Temperatures,ASTM A 178/A 178M-02*,D,---,---,0.27,1.00-1.50,0.10 min,0.030,0.015,---,---,---,---
5.7B Chemical Composition of Carbon Steel Tubes and Pipes for Pressure Purposes at High Temperatures,ASTM A 210/A 210M-02,C,---,K03501,0.35,0.29-1.06,0.10,0.035,0.035,---,---,---,---
5.7B Chemical Composition of Carbon Steel Tubes and Pipes for Pressure Purposes at High Temperatures,ISO 2604-II:1975,TS 18,---,---,0.23,0.80-1.50,0.35,0.045,0.045,---,---,---,---
5.7B Chemical Composition of Carbon Steel Tubes and Pipes for Pressure Purposes at High Temperatures,ASTM A 106-02a,C,---,K03501,0.35,0.29-1.06,≥ 0.10,0.035,0.035,0.40,0.40,0.15,Cu 0.40; V 0.08; Cu+Ni+Cr+Mo+V 1.0
5.7B Chemical Composition of Carbon Steel Tubes and Pipes for Pressure Purposes at High Temperatures,DIN 1630:1984,St 52.4,1.0581,---,0.22,1.60,0.55,0.040,0.035,---,---,---,N fixing elements
5.7B Chemical Composition of Carbon Steel Tubes and Pipes for Pressure Purposes at High Temperatures,JIS G 3461:1988,STB 510,---,---,0.25,1.00-1.50,0.35,0.035,0.035,---,---,---,---
5.7B Chemical Composition of Carbon Steel Tubes and Pipes for Pressure Purposes at High Temperatures,AFNOR NF A 49-220:1990,TU 52 C,---,---,0.20,1.00-1.50,0.15-0.50,0.025,0.025,---,---,---,---
