Section,Standard Designation,"Grade, Class, Type, Symbol or Name",Steel Number,UNS Number,"Section Thickness t, mm","t, in.",C,Mn,Si,P,S,Cr,Ni,Mo,Others
3.3B Chemical Composition of Structural Steels with Improved Atmospheric Corrosion-Resistance,ISO 5952:1998,HSA 355W2-C,---,---,---,---,0.16,0.50-1.50,0.50,0.035,0.035,0.40-0.80,0.65,0.30,Cu 0.25-0.55; Zr 0.15
3.3B Chemical Composition of Structural Steels with Improved Atmospheric Corrosion-Resistance,ISO 5952:1998,HSA 355W2-D,---,---,---,---,0.16,0.50-1.50,0.50,0.035,0.035,0.40-0.80,0.65,0.30,Cu 0.25-0.55; Zr 0.15; Al 0.020 min
3.3B Chemical Composition of Structural Steels with Improved Atmospheric Corrosion-Resistance,ASTM A 871/A 871M-03,Gr. 65 Type I,---,---,---,---,0.19,0.80-1.35,0.30-0.65,0.04,0.05,0.40-0.70,0.40,---,Cu 0.25-0.40; V 0.02-0.10
3.3B Chemical Composition of Structural Steels with Improved Atmospheric Corrosion-Resistance,ASTM A 871/A 871M-03,Gr. 65 Type II,---,---,---,---,0.20,0.75-1.35,0.15-0.50,0.04,0.05,0.40-0.70,0.50,---,Cu 0.20-0.40; V 0.01-0.10
3.3B Chemical Composition of Structural Steels with Improved Atmospheric Corrosion-Resistance,ASTM A 871/A 871M-03,Gr. 65 Type III,---,---,---,---,0.15,0.80-1.35,0.15-0.40,0.04,0.05,0.30-0.50,0.25-0.50,---,Cu 0.20-0.50; V 0.01-0.10
3.3B Chemical Composition of Structural Steels with Improved Atmospheric Corrosion-Resistance,ASTM A 871/A 871M-03,Gr. 65 Type IV,---,---,---,---,0.17,0.50-1.20,0.25-0.50,0.04,0.05,0.40-0.70,0.40,0.10,Cu 0.30-0.50; Cb 0.005-0.05
3.3B Chemical Composition of Structural Steels with Improved Atmospheric Corrosion-Resistance,CSA G40.21-04,400A (60A),---,---,---,---,0.20,0.75-1.35,0.15-0.50,0.03,0.04,0.70,0.90,---,grain refining elements 0.10; Cu 0.20-0.60
3.3B Chemical Composition of Structural Steels with Improved Atmospheric Corrosion-Resistance,CSA G40.21-04,400AT (60AT),---,---,---,---,0.20,0.75-1.35,0.15-0.50,0.03,0.04,0.70,0.90,---,grain refining elements 0.10; Cu 0.20-0.60
3.3B Chemical Composition of Structural Steels with Improved Atmospheric Corrosion-Resistance,ASTM A 871/A 871M-03,Gr. 65 Type I,---,---,---,---,0.19,0.80-1.35,0.30-0.65,0.04,0.05,0.40-0.70,0.40,---,Cu 0.25-0.40; V 0.02-0.10
3.3B Chemical Composition of Structural Steels with Improved Atmospheric Corrosion-Resistance,ASTM A 871/A 871M-03,Gr. 65 Type II,---,---,---,---,0.20,0.75-1.35,0.15-0.50,0.04,0.05,0.40-0.70,0.50,---,Cu 0.20-0.40; V 0.01-0.10
3.3B Chemical Composition of Structural Steels with Improved Atmospheric Corrosion-Resistance,ASTM A 871/A 871M-03,Gr. 65 Type III,---,---,---,---,0.15,0.80-1.35,0.15-0.40,0.04,0.05,0.30-0.50,0.25-0.50,---,Cu 0.20-0.50; V 0.01-0.10
3.3B Chemical Composition of Structural Steels with Improved Atmospheric Corrosion-Resistance,ASTM A 871/A 871M-03,Gr. 65 Type IV,---,---,---,---,0.17,0.50-1.20,0.25-0.50,0.04,0.05,0.40-0.70,0.40,0.10,Cu 0.30-0.50; Cb 0.005-0.05
3.3B Chemical Composition of Structural Steels with Improved Atmospheric Corrosion-Resistance,JIS G 3114:1998,SMA570W,---,---,≤ 100,---,0.18,1.40,0.15-0.65,0.035,0.035,0.45-0.75,0.05-0.30,---,Cu 0.30-0.50
3.3B Chemical Composition of Structural Steels with Improved Atmospheric Corrosion-Resistance,JIS G 3114:1998,SMA570P,---,---,≤ 100,---,0.18,1.40,0.55,0.035,0.035,0.30-0.55,---,---,Cu 0.20-0.35
3.3B Chemical Composition of Structural Steels with Improved Atmospheric Corrosion-Resistance,CSA G40.21-04,480A (70A),---,---,---,---,0.20,1.00-1.60,0.15-0.50,0.025,0.035,0.70,0.25-0.50,---,grain refining elements 0.12; Cu 0.20-0.60
3.3B Chemical Composition of Structural Steels with Improved Atmospheric Corrosion-Resistance,CSA G40.21-04,480AT (70AT),---,---,---,---,0.20,1.00-1.60,0.15-0.50,0.025,0.035,0.70,0.25-0.50,---,grain refining elements 0.12; Cu 0.20-0.60
3.3B Chemical Composition of Structural Steels with Improved Atmospheric Corrosion-Resistance,CSA G40.21-04,550A (80A),---,---,---,---,0.15,1.75,0.15-0.50,0.025,0.035,0.70,0.25-0.50,---,grain refining elements 0.15; Cu 0.20-0.60
3.3B Chemical Composition of Structural Steels with Improved Atmospheric Corrosion-Resistance,CSA G40.21-04,550AT (80AT),---,---,---,---,0.15,1.75,0.15-0.40,0.025,0.035,0.70,0.25-0.50,---,Cu 0.20-0.60
