Section,Standard Designation,"Grade, Class, Type, Symbol or Name",Steel Number,UNS Number,C,Mn,Si,P,S,Cr,Ni,Mo,Others
5.8.3A Chemical Composition of 1/2Cr-1/2Mo Alloy Steel Tubes and Pipes for Pressure Purposes at High Temperatures,ASTM A 213/A 213M-03a,T2,---,K11547,0.10-0.20,0.30-0.61,0.10-0.30,0.025,0.025,0.50-0.81,---,0.44-0.65,---
5.8.3A Chemical Composition of 1/2Cr-1/2Mo Alloy Steel Tubes and Pipes for Pressure Purposes at High Temperatures,ASTM A 250/A 250M-95 (2001),T2,---,K11547,0.10-0.20,0.30-0.61,0.10-0.30,0.025,0.020,0.50-0.81,---,0.44-0.65,---
5.8.3A Chemical Composition of 1/2Cr-1/2Mo Alloy Steel Tubes and Pipes for Pressure Purposes at High Temperatures,ASTM A 335/A 335M-03,P2,---,K11547,0.10-0.20,0.30-0.61,0.10-0.30,0.025,0.025,0.50-0.81,---,0.44-0.65,---
5.8.3A Chemical Composition of 1/2Cr-1/2Mo Alloy Steel Tubes and Pipes for Pressure Purposes at High Temperatures,AFNOR NF A 49-220:1990,TU 15 CD 2-05,---,---,0.10-0.18,0.50-0.90,0.10-0.35,0.025,0.025,0.40-0.65,---,0.45-0.60,---
5.8.3A Chemical Composition of 1/2Cr-1/2Mo Alloy Steel Tubes and Pipes for Pressure Purposes at High Temperatures,JIS G 3458:1988,STPA 20,---,---,0.10-0.20,0.30-0.60,0.10-0.50,0.035,0.035,0.50-0.80,---,0.40-0.65,---
5.8.3A Chemical Composition of 1/2Cr-1/2Mo Alloy Steel Tubes and Pipes for Pressure Purposes at High Temperatures,JIS G 3462:1988,STBA 20,---,---,0.10-0.20,0.30-0.60,0.10-0.50,0.035,0.035,0.50-0.80,---,0.40-0.65,---
5.8.3A Chemical Composition of 1/2Cr-1/2Mo Alloy Steel Tubes and Pipes for Pressure Purposes at High Temperatures,ISO 2604-II:1975,TS 33,---,---,0.10-0.18,0.40-0.70,0.10-0.35,0.040,0.040,0.30-0.60,---,0.50-0.70,Al 0.02; V 0.22-0.32
5.8.3A Chemical Composition of 1/2Cr-1/2Mo Alloy Steel Tubes and Pipes for Pressure Purposes at High Temperatures,EN 10216-2:2002,14MoV6-3,1.7715,---,0.10-0.15,0.40-0.70,0.15-0.35,0.025,0.020,0.30-0.60,0.30,0.50-0.70,Al 0.040; Cu 0.30; V 0.22-0.28
